Team,PA,PA_Rank
Denver Broncos,117.55,5.0
Minnesota Vikings,121.46,4.0
Philadelphia Eagles,126.07,3.0
Houston Texans,102.12,16.0
Detroit Lions,109.79,9.0
Green Bay Packers,116.43,6.0
Pittsburgh Steelers,111.46,7.0
Los Angeles Chargers,130.1,1.0
Indianapolis Colts,90.49,27.0
San Francisco 49ers,93.98,22.0
Baltimore Ravens,104.16,13.0
Cleveland Browns,91.4,24.0
Kansas City Chiefs,126.94,2.0
Seattle Seahawks,106.59,10.0
Miami Dolphins,110.12,8.0
Buffalo Bills,105.97,11.0
New Orleans Saints,98.54,18.0
Washington Commanders,98.28,19.0
Tennessee Titans,83.66,30.0
Las Vegas Raiders,91.4,24.0
Chicago Bears,105.06,12.0
Tampa Bay Buccaneers,99.89,17.0
Atlanta Falcons,96.46,20.0
New York Jets,95.21,21.0
Los Angeles Rams,102.69,15.0
Cincinnati Bengals,87.67,29.0
New York Giants,92.56,23.0
Arizona Cardinals,102.98,14.0
New England Patriots,91.17,26.0
Dallas Cowboys,82.16,31.0
Carolina Panthers,73.71,32.0
Jacksonville Jaguars,89.39,28.0
