Team,Success %,Success %_Rank
Denver Broncos,111.1,2.0
Minnesota Vikings,105.89,6.0
Philadelphia Eagles,109.96,3.0
Houston Texans,114.97,1.0
Detroit Lions,104.34,8.0
Green Bay Packers,97.69,20.0
Pittsburgh Steelers,100.9,13.0
Los Angeles Chargers,102.84,9.0
Indianapolis Colts,99.96,16.0
San Francisco 49ers,98.58,17.0
Baltimore Ravens,108.29,4.0
Cleveland Browns,107.21,5.0
Kansas City Chiefs,104.85,7.0
Seattle Seahawks,97.24,22.0
Miami Dolphins,98.36,18.0
Buffalo Bills,98.36,18.0
New Orleans Saints,102.11,10.0
Washington Commanders,100.67,14.0
Tennessee Titans,102.11,10.0
Las Vegas Raiders,100.67,14.0
Chicago Bears,97.24,22.0
Tampa Bay Buccaneers,95.3,28.0
Atlanta Falcons,95.72,27.0
New York Jets,101.14,12.0
Los Angeles Rams,97.24,22.0
Cincinnati Bengals,93.23,30.0
New York Giants,94.88,29.0
Arizona Cardinals,90.47,31.0
New England Patriots,95.94,26.0
Dallas Cowboys,96.8,25.0
Carolina Panthers,88.6,32.0
Jacksonville Jaguars,97.69,20.0
