Team,TO%,TO%_Rank
Denver Broncos,119.57,10.0
Minnesota Vikings,151.77,2.0
Philadelphia Eagles,131.53,5.0
Houston Texans,130.61,6.0
Detroit Lions,129.69,7.0
Green Bay Packers,148.09,4.0
Pittsburgh Steelers,150.85,3.0
Los Angeles Chargers,107.62,13.0
Indianapolis Colts,120.49,9.0
San Francisco 49ers,88.3,17.0
Baltimore Ravens,79.1,25.0
Cleveland Browns,51.51,31.0
Kansas City Chiefs,109.46,12.0
Seattle Seahawks,84.62,19.0
Miami Dolphins,81.86,22.0
Buffalo Bills,165.56,1.0
New Orleans Saints,84.62,19.0
Washington Commanders,85.54,18.0
Tennessee Titans,80.02,24.0
Las Vegas Raiders,68.99,28.0
Chicago Bears,116.82,11.0
Tampa Bay Buccaneers,84.62,19.0
Atlanta Falcons,95.66,16.0
New York Jets,61.63,29.0
Los Angeles Rams,103.94,15.0
Cincinnati Bengals,123.25,8.0
New York Giants,80.94,23.0
Arizona Cardinals,77.26,27.0
New England Patriots,56.11,30.0
Dallas Cowboys,106.7,14.0
Carolina Panthers,79.1,25.0
Jacksonville Jaguars,44.15,32.0
