Team,EPA-Rush,EPA-Rush_Rank
Denver Broncos,107.19,4.0
Minnesota Vikings,113.63,1.0
Philadelphia Eagles,109.25,2.0
Houston Texans,103.3,10.0
Detroit Lions,101.45,14.0
Green Bay Packers,102.36,13.0
Pittsburgh Steelers,105.21,5.0
Los Angeles Chargers,101.45,14.0
Indianapolis Colts,104.24,7.0
San Francisco 49ers,95.48,26.0
Baltimore Ravens,108.21,3.0
Cleveland Browns,103.3,10.0
Kansas City Chiefs,104.24,7.0
Seattle Seahawks,99.67,18.0
Miami Dolphins,103.3,10.0
Buffalo Bills,105.21,5.0
New Orleans Saints,91.63,30.0
Washington Commanders,99.67,18.0
Tennessee Titans,97.95,21.0
Las Vegas Raiders,104.24,7.0
Chicago Bears,96.29,23.0
Tampa Bay Buccaneers,101.45,14.0
Atlanta Falcons,100.55,17.0
New York Jets,96.29,23.0
Los Angeles Rams,97.95,21.0
Cincinnati Bengals,95.48,26.0
New York Giants,94.69,28.0
Arizona Cardinals,93.9,29.0
New England Patriots,98.8,20.0
Dallas Cowboys,88.08,32.0
Carolina Panthers,89.47,31.0
Jacksonville Jaguars,96.29,23.0
