Team,Tot Yds,Tot Yds_Rank
Denver Broncos,101.97,15.0
Minnesota Vikings,101.68,16.0
Philadelphia Eagles,120.09,1.0
Houston Texans,107.06,7.0
Detroit Lions,97.1,22.0
Green Bay Packers,105.35,8.0
Pittsburgh Steelers,103.0,11.0
Los Angeles Chargers,102.8,12.0
Indianapolis Colts,92.72,29.0
San Francisco 49ers,107.88,6.0
Baltimore Ravens,102.2,14.0
Cleveland Browns,100.34,17.0
Kansas City Chiefs,108.55,4.0
Seattle Seahawks,102.74,13.0
Miami Dolphins,108.59,3.0
Buffalo Bills,98.18,20.0
New Orleans Saints,89.0,30.0
Washington Commanders,104.19,9.0
Tennessee Titans,109.76,2.0
Las Vegas Raiders,103.99,10.0
Chicago Bears,95.44,25.0
Tampa Bay Buccaneers,97.81,21.0
Atlanta Falcons,99.16,19.0
New York Jets,107.94,5.0
Los Angeles Rams,95.24,26.0
Cincinnati Bengals,94.22,27.0
New York Giants,96.5,24.0
Arizona Cardinals,100.19,18.0
New England Patriots,96.89,23.0
Dallas Cowboys,93.54,28.0
Carolina Panthers,85.13,32.0
Jacksonville Jaguars,87.05,31.0
