Player,pass_atts,pass_atts_Rank
Lamar Jackson,110.53,18.0
Josh Allen,121.63,13.0
Joe Burrow,152.67,1.0
Jared Goff,126.93,11.0
Patrick Mahomes,146.11,2.0
Baker Mayfield,135.51,5.0
Tua Tagovailoa,100.18,20.0
Jayden Daniels,117.59,14.0
Jalen Hurts,90.84,21.0
Kyler Murray,127.43,10.0
Brock Purdy,113.55,16.0
Jordan Love,104.22,19.0
Derek Carr,70.4,32.0
Sam Darnold,126.93,11.0
Bo Nix,135.51,5.0
Justin Herbert,117.59,14.0
Dak Prescott,71.66,29.0
Russell Wilson,76.46,26.0
Matthew Stafford,130.21,9.0
Aaron Rodgers,138.28,4.0
Geno Smith,138.54,3.0
Trevor Lawrence,71.41,31.0
Drake Maye,84.79,24.0
Joe Flacco,52.49,37.0
Mason Rudolph,54.51,35.0
Jameis Winston,74.44,28.0
Kirk Cousins,113.3,17.0
Anthony Richardson,66.11,33.0
Gardner Minshew,76.46,26.0
Mac Jones,58.04,34.0
Aidan O'Connell,52.49,37.0
Daniel Jones,85.04,23.0
Caleb Williams,133.74,7.0
Cooper Rush,77.47,25.0
C.J. Stroud,132.48,8.0
Deshaun Watson,54.51,35.0
Bryce Young,88.32,22.0
Will Levis,71.66,29.0
