Player,passing_yards,passing_yards_Rank
Lamar Jackson,136.78,6.0
Josh Allen,129.04,10.0
Joe Burrow,160.51,1.0
Jared Goff,152.11,2.0
Patrick Mahomes,135.85,7.0
Baker Mayfield,147.99,3.0
Tua Tagovailoa,99.16,21.0
Jayden Daniels,122.09,14.0
Jalen Hurts,100.4,20.0
Kyler Murray,124.82,13.0
Brock Purdy,133.64,8.0
Jordan Love,114.82,19.0
Derek Carr,74.18,25.0
Sam Darnold,143.63,4.0
Bo Nix,119.46,17.0
Justin Herbert,121.88,15.0
Dak Prescott,68.41,30.0
Russell Wilson,80.72,22.0
Matthew Stafford,130.11,9.0
Aaron Rodgers,125.3,12.0
Geno Smith,141.7,5.0
Trevor Lawrence,70.73,28.0
Drake Maye,78.72,23.0
Joe Flacco,51.77,34.0
Mason Rudolph,50.49,35.0
Jameis Winston,73.35,26.0
Kirk Cousins,121.32,16.0
Anthony Richardson,62.74,33.0
Gardner Minshew,69.62,29.0
Mac Jones,50.04,36.0
Aidan O'Connell,48.35,37.0
Daniel Jones,71.59,27.0
Caleb Williams,117.35,18.0
Cooper Rush,63.77,32.0
C.J. Stroud,127.17,11.0
Deshaun Watson,39.7,38.0
Bryce Young,74.43,24.0
Will Levis,66.26,31.0
