Player,qbr_total,qbr_total_Rank
Lamar Jackson,135.02,1.0
Josh Allen,132.77,2.0
Joe Burrow,132.77,2.0
Jared Goff,116.15,8.0
Patrick Mahomes,118.57,6.0
Baker Mayfield,102.82,16.0
Tua Tagovailoa,104.03,15.0
Jayden Daniels,125.32,4.0
Jalen Hurts,114.42,10.0
Kyler Murray,115.8,9.0
Brock Purdy,117.36,7.0
Jordan Love,120.13,5.0
Derek Carr,111.13,12.0
Sam Darnold,109.74,13.0
Bo Nix,93.65,21.0
Justin Herbert,106.97,14.0
Dak Prescott,79.8,30.0
Russell Wilson,91.74,22.0
Matthew Stafford,111.99,11.0
Aaron Rodgers,83.61,26.0
Geno Smith,91.22,23.0
Trevor Lawrence,101.61,18.0
Drake Maye,102.13,17.0
Joe Flacco,96.59,20.0
Mason Rudolph,,
Jameis Winston,97.45,19.0
Kirk Cousins,89.67,24.0
Anthony Richardson,80.49,29.0
Gardner Minshew,65.6,33.0
Mac Jones,,
Aidan O'Connell,,
Daniel Jones,82.57,28.0
Caleb Williams,78.76,31.0
Cooper Rush,69.93,32.0
C.J. Stroud,84.82,25.0
Deshaun Watson,,
Bryce Young,83.09,27.0
Will Levis,52.28,34.0
