Player,success_rate,success_rate_Rank
Lamar Jackson,112.77,2.0
Josh Allen,110.64,7.0
Joe Burrow,112.77,2.0
Jared Goff,112.77,2.0
Patrick Mahomes,108.51,9.0
Baker Mayfield,112.77,2.0
Tua Tagovailoa,114.89,1.0
Jayden Daniels,106.38,11.0
Jalen Hurts,106.38,11.0
Kyler Murray,106.38,11.0
Brock Purdy,110.64,7.0
Jordan Love,104.26,16.0
Derek Carr,93.62,26.0
Sam Darnold,112.77,2.0
Bo Nix,93.62,26.0
Justin Herbert,97.87,20.0
Dak Prescott,93.62,26.0
Russell Wilson,93.62,26.0
Matthew Stafford,108.51,9.0
Aaron Rodgers,93.62,26.0
Geno Smith,102.13,17.0
Trevor Lawrence,95.74,23.0
Drake Maye,102.13,17.0
Joe Flacco,102.13,17.0
Mason Rudolph,106.38,11.0
Jameis Winston,95.74,23.0
Kirk Cousins,106.38,11.0
Anthony Richardson,87.23,35.0
Gardner Minshew,97.87,20.0
Mac Jones,91.49,31.0
Aidan O'Connell,95.74,23.0
Daniel Jones,97.87,20.0
Caleb Williams,89.36,32.0
Cooper Rush,89.36,32.0
C.J. Stroud,89.36,32.0
Deshaun Watson,74.47,38.0
Bryce Young,87.23,35.0
Will Levis,82.98,37.0
