Player,td,td_Rank
Lamar Jackson,208.44,2.0
Josh Allen,149.65,6.0
Joe Burrow,224.47,1.0
Jared Goff,192.41,4.0
Patrick Mahomes,138.96,7.0
Baker Mayfield,208.44,2.0
Tua Tagovailoa,101.55,15.0
Jayden Daniels,133.61,8.0
Jalen Hurts,96.2,18.0
Kyler Murray,90.86,20.0
Brock Purdy,106.89,13.0
Jordan Love,133.61,8.0
Derek Carr,80.17,22.0
Sam Darnold,187.06,5.0
Bo Nix,133.61,8.0
Justin Herbert,112.24,12.0
Dak Prescott,58.79,29.0
Russell Wilson,80.17,22.0
Matthew Stafford,106.89,13.0
Aaron Rodgers,128.27,11.0
Geno Smith,90.86,20.0
Trevor Lawrence,58.79,29.0
Drake Maye,80.17,22.0
Joe Flacco,58.79,29.0
Mason Rudolph,48.1,32.0
Jameis Winston,69.48,25.0
Kirk Cousins,96.2,18.0
Anthony Richardson,42.76,34.0
Gardner Minshew,48.1,32.0
Mac Jones,37.41,36.0
Aidan O'Connell,32.07,37.0
Daniel Jones,42.76,34.0
Caleb Williams,101.55,15.0
Cooper Rush,64.14,26.0
C.J. Stroud,101.55,15.0
Deshaun Watson,26.72,38.0
Bryce Young,64.14,26.0
Will Levis,64.14,26.0
