Player,win_pct,win_pct_Rank
Lamar Jackson,145.91,6.0
Josh Allen,171.29,4.0
Joe Burrow,105.73,18.0
Jared Goff,186.09,2.0
Patrick Mahomes,198.78,1.0
Baker Mayfield,118.42,12.0
Tua Tagovailoa,116.3,16.0
Jayden Daniels,145.91,6.0
Jalen Hurts,169.17,5.0
Kyler Murray,93.04,22.0
Brock Purdy,84.59,23.0
Jordan Love,135.34,8.0
Derek Carr,105.73,18.0
Sam Darnold,186.09,2.0
Bo Nix,118.42,12.0
Justin Herbert,131.11,9.0
Dak Prescott,80.36,24.0
Russell Wilson,126.88,11.0
Matthew Stafford,131.11,9.0
Aaron Rodgers,52.87,29.0
Geno Smith,118.42,12.0
Trevor Lawrence,42.29,32.0
Drake Maye,38.06,36.0
Joe Flacco,42.29,32.0
Mason Rudolph,42.29,32.0
Jameis Winston,61.32,27.0
Kirk Cousins,105.73,18.0
Anthony Richardson,116.3,16.0
Gardner Minshew,46.52,31.0
Mac Jones,69.78,25.0
Aidan O'Connell,69.78,25.0
Daniel Jones,42.29,32.0
Caleb Williams,52.87,29.0
Cooper Rush,105.73,18.0
C.J. Stroud,118.42,12.0
Deshaun Watson,29.6,38.0
Bryce Young,57.1,28.0
Will Levis,38.06,36.0
