Player,win_pct,pass_atts,int,td,passing_yards,comp_pct,passer_rating,avg_epa,success_rate,total_wpa,qbr_total
Lamar Jackson,0.69,438,4.0,39.0,3955.0,0.68,122.66,0.32,0.53,3.94,78.0
Josh Allen,0.81,482,6.0,28.0,3731.0,0.64,101.59,0.33,0.52,4.66,76.7
Joe Burrow,0.5,605,8.0,42.0,4641.0,0.7,109.94,0.21,0.53,5.85,76.7
Jared Goff,0.88,503,10.0,36.0,4398.0,0.72,114.23,0.29,0.53,2.83,67.1
Patrick Mahomes,0.94,579,11.0,26.0,3928.0,0.68,93.82,0.16,0.51,4.78,68.5
Baker Mayfield,0.56,537,15.0,39.0,4279.0,0.72,107.76,0.21,0.53,2.29,59.4
Tua Tagovailoa,0.55,397,7.0,19.0,2867.0,0.73,101.86,0.21,0.54,2.43,60.1
Jayden Daniels,0.69,466,9.0,25.0,3530.0,0.7,101.6,0.22,0.5,4.09,72.4
Jalen Hurts,0.8,360,5.0,18.0,2903.0,0.69,103.97,0.17,0.5,2.79,66.1
Kyler Murray,0.44,505,11.0,17.0,3609.0,0.69,91.27,0.13,0.5,0.46,66.9
Brock Purdy,0.4,450,12.0,20.0,3864.0,0.67,97.12,0.2,0.52,2.21,67.8
Jordan Love,0.64,413,11.0,25.0,3320.0,0.63,97.32,0.19,0.49,1.95,69.4
Derek Carr,0.5,279,5.0,15.0,2145.0,0.68,101.02,0.14,0.44,0.99,64.2
Sam Darnold,0.88,503,12.0,35.0,4153.0,0.68,106.56,0.17,0.53,4.61,63.4
Bo Nix,0.56,537,12.0,25.0,3454.0,0.65,89.4,0.03,0.44,0.5,54.1
Justin Herbert,0.62,466,3.0,21.0,3524.0,0.65,100.3,0.13,0.46,2.19,61.8
Dak Prescott,0.38,284,8.0,11.0,1978.0,0.65,86.56,-0.01,0.44,1.31,46.1
Russell Wilson,0.6,303,5.0,15.0,2334.0,0.65,97.99,0.04,0.44,0.58,53.0
Matthew Stafford,0.62,516,8.0,20.0,3762.0,0.66,93.83,0.12,0.51,2.82,64.7
Justin Fields,0.67,160,1.0,5.0,1106.0,0.66,93.91,0.11,0.47,0.87,
Aaron Rodgers,0.25,548,10.0,24.0,3623.0,0.63,89.09,0.04,0.44,0.45,48.3
Geno Smith,0.56,549,15.0,17.0,4097.0,0.7,90.86,0.05,0.48,1.75,52.7
Trevor Lawrence,0.2,283,7.0,11.0,2045.0,0.61,85.49,0.03,0.45,-0.08,58.7
Drake Maye,0.18,336,10.0,15.0,2276.0,0.67,88.59,0.03,0.48,0.48,59.0
Drew Lock,0.25,151,4.0,5.0,933.0,0.56,74.74,-0.12,0.42,-0.71,
Joe Flacco,0.2,208,7.0,11.0,1497.0,0.67,91.37,0.08,0.48,0.21,55.8
Mason Rudolph,0.2,216,9.0,9.0,1460.0,0.64,80.4,0.05,0.5,0.45,
Jameis Winston,0.29,295,12.0,13.0,2121.0,0.61,80.91,-0.03,0.45,-0.01,56.3
Kirk Cousins,0.5,449,16.0,18.0,3508.0,0.67,89.39,0.07,0.5,1.93,51.8
Tyler Huntley,0.67,91,1.0,2.0,602.0,0.67,88.26,-0.0,0.39,0.0,
Anthony Richardson,0.55,262,12.0,8.0,1814.0,0.48,62.1,-0.04,0.41,0.32,46.5
Kenny Pickett,1.0,42,1.0,2.0,291.0,0.6,86.51,0.22,0.44,0.44,75.5
Andy Dalton,0.2,160,6.0,7.0,989.0,0.66,82.01,-0.12,0.42,-0.07,56.4
Gardner Minshew,0.22,303,10.0,9.0,2013.0,0.67,81.75,-0.09,0.46,-0.85,37.9
Desmond Ridder,0.0,82,2.0,2.0,447.0,0.62,74.59,-0.19,0.39,-0.45,
Mac Jones,0.33,230,7.0,7.0,1447.0,0.66,80.47,0.0,0.43,0.41,
Aidan O'Connell,0.33,208,3.0,6.0,1398.0,0.62,85.78,0.03,0.45,0.41,
Daniel Jones,0.2,337,7.0,8.0,2070.0,0.64,80.35,-0.02,0.46,-0.01,47.7
Caleb Williams,0.25,530,6.0,19.0,3393.0,0.62,87.88,-0.02,0.42,-0.89,45.5
Cooper Rush,0.5,307,5.0,12.0,1844.0,0.61,84.11,-0.09,0.42,-0.21,40.4
Michael Penix Jr.,0.5,67,2.0,1.0,463.0,0.6,73.17,0.17,0.47,0.13,
C.J. Stroud,0.56,525,12.0,19.0,3677.0,0.63,86.19,-0.01,0.42,0.6,49.0
Jacoby Brissett,0.2,160,1.0,2.0,823.0,0.59,74.56,-0.16,0.41,-0.84,
Deshaun Watson,0.14,216,3.0,5.0,1148.0,0.63,79.01,-0.21,0.35,-1.15,
Malik Willis,1.0,41,0.0,3.0,414.0,0.73,129.52,0.38,0.41,0.76,88.5
Bryce Young,0.27,350,9.0,12.0,2152.0,0.6,78.18,-0.06,0.41,-0.34,48.0
Brandon Allen,0.0,30,2.0,1.0,199.0,0.57,60.28,-0.56,0.33,-0.11,
Tommy DeVito,0.0,44,0.0,0.0,257.0,0.7,85.13,-0.06,0.42,-0.13,
Jake Haener,0.0,39,1.0,1.0,226.0,0.46,62.55,-0.29,0.3,-0.35,
Tim Boyle,0.0,49,1.0,1.0,276.0,0.55,69.77,-0.1,0.41,-0.1,
Spencer Rattler,0.0,185,5.0,3.0,1077.0,0.56,67.33,-0.3,0.38,-0.64,
Skylar Thompson,0.0,33,0.0,0.0,187.0,0.64,78.72,-0.44,0.29,-0.2,
Will Levis,0.18,284,12.0,12.0,1916.0,0.64,79.78,-0.14,0.39,-2.62,30.2
Dorian Thompson-Robinson,0.0,115,6.0,0.0,427.0,0.51,38.57,-0.39,0.34,-0.89,
