Team,Rushes,Total EPA,Rush Yards,Rush TD,Rush Yards AC,TFL Rush,Explosive Rush,First Down Rush
ARI,355,12.82,1756,11,1108.09,25.98,38.879999999999995,96.08
ATL,428,-5.860000000000001,1986,15,1163.71,35.99,38.03,103.02000000000001
BAL,387,41.21,2122,15,1235.79,32.86,46.12,114.05
BUF,344,10.23,1584,19,839.47,31.96,34.14,76.29
CAR,330,-7.8100000000000005,1464,11,893.53,22.02,27.009999999999998,75.01
CHI,327,-31.240000000000002,1213,12,688.4,32.97,16.060000000000002,63.06
CIN,324,-14.01,1322,10,755.51,25.08,26.930000000000003,66.05
CLE,297,-37.86,1202,6,643.62,25.07,18.0,52.07
DAL,333,-39.69,1386,4,802.9399999999999,23.09,23.21,65.02
DEN,331,-31.0,1369,7,803.25,37.04,27.1,68.03
DET,462,16.64,2251,26,1245.14,34.019999999999996,55.83,117.7
GNB,421,-3.329999999999999,1971,18,1154.46,37.0,46.95,100.9
HOU,411,-40.38,1701,15,1082.94,60.019999999999996,42.120000000000005,81.42
IND,367,-35.62,1629,13,806.1400000000001,35.14,32.93,75.94
JAX,331,-17.580000000000002,1422,8,933.47,29.86,31.009999999999998,69.06
KAN,377,-10.639999999999999,1455,13,813.45,20.96,16.99,84.03999999999999
LAC,360,-27.71,1461,14,867.26,27.9,28.060000000000002,69.94
LAR,399,-20.7,1640,15,933.35,33.88,25.88,105.04
LVR,318,-74.28,1174,8,604.2,28.98,20.06,53.05
MIA,175,-54.72,631,4,424.4,26.990000000000002,19.02,31.98
MIN,411,-41.17,1682,9,934.51,41.06,37.12,76.08
NOR,374,-8.68,1631,14,929.8399999999999,44.95,33.93,94.00999999999999
NWE,345,-41.989999999999995,1402,8,981.9100000000001,32.08,29.0,64.93
NYG,129,-29.31,477,4,320.21000000000004,9.04,9.0,24.99
NYJ,315,-35.68,1302,8,808.72,25.91,25.88,59.15
PHI,432,25.55,2347,14,1102.9,32.99,49.959999999999994,87.17
PIT,409,-37.9,1664,6,1145.77,37.06,39.05,82.98
SEA,152,-9.68,665,8,414.59,12.01,12.99,33.97
SFO,359,-17.66,1691,10,951.37,31.98,37.95,73.02
TAM,395,13.29,2053,12,1128.21,30.080000000000002,41.94,96.03999999999999
TEN,353,-33.14,1494,10,894.22,33.879999999999995,28.11,68.0
WAS,169,13.670000000000002,817,10,402.8,13.0,14.04,42.01
