Team,EPA-Play,EPA-Play_Rank
ARI,108.08,4.0
ATL,104.08,8.0
BAL,113.69,1.0
BUF,107.28,6.0
CAR,103.28,10.0
CHI,96.87,22.0
CIN,101.68,13.0
CLE,94.47,29.0
DAL,95.27,27.0
DEN,97.67,19.0
DET,108.08,4.0
GNB,104.08,8.0
HOU,96.87,22.0
IND,96.87,22.0
JAX,100.88,14.0
KAN,102.48,12.0
LAC,98.47,18.0
LAR,100.88,14.0
LVR,86.46,30.0
MIA,80.06,32.0
MIN,96.87,22.0
NOR,103.28,10.0
NWE,95.27,27.0
NYG,86.46,30.0
NYJ,96.07,26.0
PHI,109.68,3.0
PIT,97.67,19.0
SEA,100.08,17.0
SFO,100.88,14.0
TAM,107.28,6.0
TEN,97.67,19.0
WAS,111.28,2.0
