Team,Explosive %,Explosive %_Rank
ARI,124.73,5.0
ATL,101.27,16.0
BAL,135.78,2.0
BUF,113.0,10.0
CAR,93.18,23.0
CHI,55.93,31.0
CIN,94.66,19.0
CLE,69.03,30.0
DAL,79.4,27.0
DEN,93.29,22.0
DET,137.61,1.0
GNB,127.01,4.0
HOU,116.76,9.0
IND,102.18,15.0
JAX,106.74,12.0
KAN,51.37,32.0
LAC,88.74,25.0
LAR,73.93,28.0
LVR,71.88,29.0
MIA,123.82,6.0
MIN,102.86,14.0
NOR,103.32,13.0
NWE,95.8,18.0
NYG,79.51,26.0
NYJ,93.64,21.0
PHI,131.68,3.0
PIT,108.79,11.0
SEA,97.39,17.0
SFO,120.4,8.0
TAM,120.97,7.0
TEN,90.67,24.0
WAS,94.66,19.0
