Team,First Down %,First Down %_Rank
ARI,125.71,2.0
ATL,111.82,8.0
BAL,136.91,1.0
BUF,103.04,13.0
CAR,105.6,10.0
CHI,89.57,25.0
CIN,94.73,17.0
CLE,81.44,31.0
DAL,90.73,22.0
DEN,95.47,16.0
DET,118.37,4.0
GNB,111.36,9.0
HOU,92.03,21.0
IND,96.12,15.0
JAX,96.91,14.0
KAN,103.55,12.0
LAC,90.27,23.0
LAR,122.32,3.0
LVR,77.49,32.0
MIA,84.88,30.0
MIN,85.99,29.0
NOR,116.79,5.0
NWE,87.43,27.0
NYG,89.99,24.0
NYJ,87.25,28.0
PHI,93.75,20.0
PIT,94.26,19.0
SEA,103.83,11.0
SFO,94.49,18.0
TAM,112.94,7.0
TEN,89.48,26.0
WAS,115.49,6.0
