Team,TD %,TD %_Rank
ARI,94.22,17.0
ATL,106.37,13.0
BAL,117.92,7.0
BUF,167.77,3.0
CAR,101.21,15.0
CHI,111.54,10.0
CIN,93.91,19.0
CLE,61.39,30.0
DAL,36.47,32.0
DEN,64.13,29.0
DET,171.11,2.0
GNB,130.08,5.0
HOU,110.93,11.0
IND,107.59,12.0
JAX,73.55,25.0
KAN,104.85,14.0
LAC,118.23,6.0
LAR,114.27,8.0
LVR,76.59,24.0
MIA,69.6,27.0
MIN,66.56,28.0
NOR,113.67,9.0
NWE,70.51,26.0
NYG,94.22,17.0
NYJ,77.2,23.0
PHI,98.47,16.0
PIT,44.68,31.0
SEA,159.86,4.0
SFO,84.79,22.0
TAM,92.39,20.0
TEN,86.01,21.0
WAS,179.92,1.0
