Team,Tackle for Loss %,Tackle for Loss %_Rank
ARI,121.76,5.0
ATL,105.98,14.0
BAL,104.98,16.0
BUF,95.94,23.0
CAR,133.62,2.0
CHI,88.42,28.0
CIN,115.15,10.0
CLE,105.6,15.0
DAL,128.61,3.0
DEN,79.65,29.0
DET,121.09,6.0
GNB,101.39,18.0
HOU,61.04,31.0
IND,93.13,25.0
JAX,98.81,20.0
KAN,160.3,1.0
LAC,115.0,11.0
LAR,104.98,16.0
LVR,97.83,22.0
MIA,57.8,32.0
MIN,89.21,27.0
NOR,74.15,30.0
NWE,95.83,24.0
NYG,127.14,4.0
NYJ,108.29,13.0
PHI,116.66,8.0
PIT,98.37,21.0
SEA,112.82,12.0
SFO,100.03,19.0
TAM,116.96,7.0
TEN,92.84,26.0
WAS,115.9,9.0
