Team,Yards after Contact,Yards after Contact_Rank
ARI,123.08,2.0
ATL,107.3,9.0
BAL,125.84,1.0
BUF,96.25,19.0
CAR,106.9,10.0
CHI,83.23,31.0
CIN,91.91,26.0
CLE,85.6,29.0
DAL,95.07,22.0
DEN,95.86,20.0
DET,106.51,11.0
GNB,108.09,7.0
HOU,103.75,13.0
IND,86.79,28.0
JAX,111.24,5.0
KAN,85.21,30.0
LAC,95.07,22.0
LAR,92.31,25.0
LVR,74.95,32.0
MIA,95.86,20.0
MIN,89.55,27.0
NOR,98.22,17.0
NWE,112.43,4.0
NYG,97.83,18.0
NYJ,101.38,14.0
PHI,100.59,15.0
PIT,110.45,6.0
SEA,107.69,8.0
SFO,104.54,12.0
TAM,112.82,3.0
TEN,99.8,16.0
WAS,93.89,24.0
